LEGEND,M = Music,T = Tech / Smart Home / DIY,F = Food & Cooking,C = Comedy,N = News,V = TV / Video,O = Other
,Leave cat blank to keep as unsure. Fill top ones first — sorted by play count.,,,,,,

cat,channel name,plays,videos,channel url
,Matt Wolfe,6,3,https://www.youtube.com/channel/UChpleBmo18P08aKCIgti38g
,The Golden Kobe Family,6,3,https://www.youtube.com/channel/UCAKHJfgRes803gkd2PzPWHQ
,HISTORY,6,3,https://www.youtube.com/channel/UC9MAhZQQd9egwWCxrwSIsJQ
,Spencer’s Adventures,6,2,https://www.youtube.com/channel/UCqsdzXbeM5HWwfPBenXRIWQ
,Will Surridge Tech,6,2,https://www.youtube.com/channel/UCUHYuGhF4-ite6rulwWD5rw
,Matt Maher,6,1,https://www.youtube.com/channel/UC6-EGajbNF0DPD9AJ8oQC1A
,Maker Tutor,6,2,https://www.youtube.com/channel/UCaDCwZpf36YyALB5D_LvWlA
,scottbez1,6,2,https://www.youtube.com/channel/UCzxBfc2Axi-Why6UwpFDn4w
,ProShorts 101,6,3,https://www.youtube.com/channel/UCx1yYZtkdt9VQhZlR7I6--w
,Licky's Smart Home Channel,6,2,https://www.youtube.com/channel/UCDTWqCNm_kbPJhpVZBVSykA
,DIGIBITE,6,1,https://www.youtube.com/channel/UCD0Pchc74OhubbumbmGZE8Q
,Electronoobs,6,3,https://www.youtube.com/channel/UCjiVhIvGmRZixSzupD0sS9Q
,Ben Makes Everything,6,1,https://www.youtube.com/channel/UCKU7oz0NZLOml3dzGOjPfXg
,ENTTEC,6,3,https://www.youtube.com/channel/UCSGGMgmroLrEDpBoNFwj04w
,pileofstuff,6,2,https://www.youtube.com/channel/UCRiFz3gNKE3VysarZ7nmqIA
,Skill Foundry,6,2,https://www.youtube.com/channel/UCPHm5UtG1_nITgKqeMKlS5g
,DittyTV : Handcrafted Music Television,6,1,https://www.youtube.com/channel/UC5SSYxcCwsjzionwg20d0gQ
,PLACITECH,6,3,https://www.youtube.com/channel/UCdZP_6QvuYiHi4yLufgZUNg
,Boiler Room,6,2,https://www.youtube.com/channel/UCGBpxWJr9FNOcFYA5GkKrMg
,Kaufman Home Automation,6,3,https://www.youtube.com/channel/UCjgziIA-lXmcqcMIm8HDnYg
,KPeyanski,6,3,https://www.youtube.com/channel/UCiyU6otsAn6v2NbbtM85npg
