# category_review.txt
# Channels that could not be auto-categorized.
# Edit the last column, then save as channel_overrides.txt
# Valid categories: music | tv | tech | unsure | news | food | comedy | other
# May be abbreviated M, V, T, unsure, N, F, C, O
norm_name|raw_name|channel_url|total_plays|title_count|category
DrZzs|DrZzs|https://www.youtube.com/channel/UC7G4tLa4Kt6A9e3hJ-HO8ng|34|12|T
Salvatore Ganacci|Salvatore Ganacci|https://www.youtube.com/channel/UCyseFvMP4mZVlU5iEEbAamA|33|6|M
Proof Bread|Proof Bread|https://www.youtube.com/channel/UCPYHRKEqMycep7r5kO-1org|33|25|F
WEAU 13 News|WEAU 13 News|https://www.youtube.com/channel/UCQKvAIzKgMj2-WeAUJU796g|32|32|N
Ren Not Ren|Ren Not Ren|https://www.youtube.com/channel/UC97b2GrZNwAb3oT65YvUFmA|31|21|M
Achieve Success|Achieve Success|https://www.youtube.com/channel/UC0DwoqurthMg5hqY3JupuzQ|30|30|T
trickthefox|trickthefox|https://www.youtube.com/channel/UCm0wrGe6QdHz_Efezm0WRpg|29|14|M
Frog Leap Studios|Frog Leap Studios|https://www.youtube.com/channel/UC98tcedR6gULv8_b70WJKyw|28|12|M
Jesse Welles|Jesse Welles|https://www.youtube.com/channel/UCmb7zAvq9IxHi_UnP93AVSQ|27|15|M
EddyGrantOfficial|EddyGrantOfficial|https://www.youtube.com/channel/UCgZwo6HS3hkpc7V2r0MeRFA|27|1|M
Pit Wagon|Pit Wagon|https://www.youtube.com/channel/UC7pSs_YUU3P84L8npaCcEKA|27|4|M
Ayesha Jones|Ayesha Jones|https://www.youtube.com/channel/UCXM2zV66f2xhZYEEvRxcFTQ|26|1|M
Veritasium|Veritasium|https://www.youtube.com/channel/UCHnyfMqiRRG1u-2MsSQLbXA|25|15|M
Simon Says Home Assistant|Simon Says Home Assistant|https://www.youtube.com/channel/UCk_pvW0ARNwn1lZgRmQFIzw|25|10|T
Mark Watt Tech|Mark Watt Tech|https://www.youtube.com/channel/UCQRm_z7seHnGsBiWDNEWr6A|24|10|T
Altra Moda Music|Altra Moda Music|https://www.youtube.com/channel/UCFRe1i5lu0H26RgEBWR1gpA|24|2|M
Iggy Pop Official|Iggy Pop Official|https://www.youtube.com/channel/UCRkrwxsHkK5pY8es61J5oGg|24|9|M
Black Pegasus|Black Pegasus|https://www.youtube.com/channel/UCokvZArf0XB_YH7fhOIh86g|24|17|M
Royal Fireplace 4K|Royal Fireplace 4K|https://www.youtube.com/channel/UCEhNdKnvg3zqNrQX6GRMNXQ|24|12|O
Mac Miller|Mac Miller|https://www.youtube.com/channel/UC3SEvBYhullC-aaEmbEQflg|23|4|O
PROFOUND|PROFOUND|https://www.youtube.com/channel/UCi5T491HXcV1bTonvlRDBuQ|22|7|M
Shane Whatley|Shane Whatley|https://www.youtube.com/channel/UCVYd9HVKN-LeYNM_wc1P2HA|22|8|M
DMC World|DMC World|https://www.youtube.com/channel/UCpJ6Ju310Q0g7UrtAk_9meA|22|4|M
CLG|CLG|https://www.youtube.com/channel/UCDQgA_Mhb6d6tjVd4OfWDNg|21|5|M
Byte of Geek|Byte of Geek|https://www.youtube.com/channel/UCU2nsuXb1xP_5DSgsik8J0Q|21|10|T
PXNDO REMIX|PXNDO REMIX|https://www.youtube.com/channel/UC2xCJ4cTVBDIX6I4wX3uGbQ|21|2|M
DJcityTV|DJcityTV|https://www.youtube.com/channel/UCOAirGxe_-SGQisKWBDPrew|21|2|M
PowerfulJRE|PowerfulJRE|https://www.youtube.com/channel/UCzQUP1qoWDoEbmsQxvdjxgQ|21|15|M
9 O'clock|9 O'clock|https://www.youtube.com/channel/UC9JiunQhp7yQc_Q717KpXuw|21|2|M
Home Assistant Podcast|Home Assistant Podcast|https://www.youtube.com/channel/UCIZrM2IwzgoXjKd6atiqJ6g|20|7|T
Michael Leen|Michael Leen|https://www.youtube.com/channel/UCPW1UJ2F7Ch7XHfzhYqyX-A|20|6|unsure
DJ ANGELO|DJ ANGELO|https://www.youtube.com/channel/UCPx27y_cQb1bGzMmX4z1eng|20|2|unsure
Elvenar Official|Elvenar Official|https://www.youtube.com/channel/UCUOilIEi4sJqM8Z1W53RXZw|20|13|unsure
jaybass20|jaybass20|https://www.youtube.com/channel/UC5UTPWIFJIniuJ_G6DGV2TQ|20|6|unsure
Zack Freedman|Zack Freedman|https://www.youtube.com/channel/UCUW49KGPezggFi0PGyDvcvg|19|9|unsure
Abby the Spoon Lady|Abby the Spoon Lady|https://www.youtube.com/channel/UCPETY6-6NCMqoWneLosBZ2A|19|3|unsure
Fix This Build That|Fix This Build That|https://www.youtube.com/channel/UCHYSw4XKO_q1GaChw5pxa-w|18|3|unsure
sencesor|sencesor|https://www.youtube.com/channel/UCwJZYjCqe3nvj7WPQw2ZPGw|18|1|unsure
mcxandermusic|mcxandermusic|https://www.youtube.com/channel/UCDk0PrwPyb9pLlN0MiloOtA|18|5|unsure
robynhitchcock|robynhitchcock|https://www.youtube.com/channel/UCB45SQG2760ybPOmaCWsbcw|18|13|T
Mario's Ideas|Mario's Ideas|https://www.youtube.com/channel/UC_YUPxLXSRu_4_zCO27kRww|17|6|T
StuckAtPrototype|StuckAtPrototype|https://www.youtube.com/channel/UCl0dAq1S5Pv3cw53nFo_aWg|17|4|T
This Smart House|This Smart House|https://www.youtube.com/channel/UCGaAf70zQAa01a_r_k1XJ1Q|17|7|T
Jan Todorov|Jan Todorov|https://www.youtube.com/channel/UCsY9uQjK27VMPndRlkUIzZw|17|1|M
Yo|Yo|https://www.youtube.com/channel/UCG6qy6CqtF_Snv66PWJcy7A|17|1|M
Matt Rife|Matt Rife|https://www.youtube.com/channel/UC2mKA8JTOCeodl9bEK7w42Q|17|13|C
mostlychris|mostlychris|https://www.youtube.com/channel/UCXEa_Gzl2zjhb7K6xflyrWQ|16|7|M
Hardware Haven|Hardware Haven|https://www.youtube.com/channel/UCgdTVe88YVSrOZ9qKumhULQ|16|4|T
The Goo Crew|The Goo Crew|https://www.youtube.com/channel/UCnhDwCga_yWjmsaNIMQtShw|16|4|M
Scott Marley|Scott Marley|https://www.youtube.com/channel/UCOoMeR4LgbGExLUCNVf184g|16|6|unsure
Rockin'1000|Rockin'1000|https://www.youtube.com/channel/UC0M4Ze6hxg20b8zeBB6GdjQ|16|7|M
BIG SPECIAL|BIG SPECIAL|https://www.youtube.com/channel/UCSU1xIUwJVAYcIVOiUOiNJg|16|4|M
Skint Records|Skint Records|https://www.youtube.com/channel/UCbqGl59PNZaQzZvO1rd-wfg|16|3|M
CeeLo Green|CeeLo Green|https://www.youtube.com/channel/UCse-L5jdWjkURTdqbc59eWw|16|2|M
